Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number,Assigned SKU,Assigned Manufacturer Part Number,Assigned Manufacturer Name,Design Risk Score,Market Availability,Reach Compliant,ROHS Compliant,Status,Price Range
1,,C1,6.8uF,,,,,,,,,,,,
1,,C2,0.47uF,,,,,,,,,,,,
1,,C7,0.47uF,,,,,,,,,,,,
1,,C12,0.7pF,,,,,,,,,,,,
1,,C49,0.1uF,,,,,,,,,,,,
1,,C50,0.1uF,,,,,,,,,,,,
1,,C52,10nF,,,,,,,,,,,,
1,,C53,6.8uF,,,,,,,,,,,,
1,,C128,100nF,,,,,,,,,,,,
1,,C132,100nF,,,,,,,,,,,,
1,,C134,0.1uF,,,,,,,,,,,,
1,,C135,0.1uF,,,,,,,,,,,,
1,,C136,0.1uF,,,,,,,,,,,,
1,,C137,1nF,,,,,,,,,,,,
1,,C218,1nF,,,,,,,,,,,,
1,,C219,0.1uF,,,,,,,,,,,,
1,,C220,1nF,,,,,,,,,,,,
1,,C221,0.1uF,,,,,,,,,,,,
1,,C222,10nF,,,,,,,,,,,,
1,,C223,6.8uF,,,,,,,,,,,,
1,,C224,0.1uF,,,,,,,,,,,,
1,,C225,10uF,,,,,,,,,,,,
1,,C226,22uF,,,,,,,,,,,,
1,,C227,10uF,,,,,,,,,,,,
1,,C230,0.1uF,,,,,,,,,,,,
1,,C231,1nF,,,,,,,,,,,,
1,,C232,0.1uF,,,,,,,,,,,,
1,,C233,1nF,,,,,,,,,,,,
1,,C236,6.8uF,,,,,,,,,,,,
1,,C237,1nF,,,,,,,,,,,,
1,,C238,0.1uF,,,,,,,,,,,,
1,,C239,0.1uF,,,,,,,,,,,,
1,,C240,6.8uF,,,,,,,,,,,,
1,,C241,0.1uF,,,,,,,,,,,,
1,,C242,6.8uF,,,,,,,,,,,,
1,,C243,0.1uF,,,,,,,,,,,,
1,,C244,4.7u,,,,,,,,,,,,
1,,C245,47uF,,,,,,,,,,,,
1,,C248,0.1uF,,,,,,,,,,,,
1,,C249,6.8uF,,,,,,,,,,,,
1,,IC9,OPA855IDSGR,"High Speed Operational Amplifiers 8 GHz Gain Bandwidth Product, Decompensated Transimpedance Amplifier with Bipolar Input 8-WSON -40 to 125",,,,,,,,,,,
1,TSW-110-07-G-D,J1,TSW-110-07-G-D,"20 Position, Classic PCB Header Strips, 0.100&quot; pitch",SAMTEC,TSW-110-07-G-D,TSW-110-07-G-D-1643049461,TSW-110-07-G-D,"Samtec, Inc",10,10,,,Active,$0.78964-$1.04350
1,,JP1,4 HEADER,,,,,,,,,,,,
1,,R60,200,,,,,,,,,,,,
1,,R61,20 k,,,,,,,,,,,,
1,,R62,100,,,,,,,,,,,,
1,,R63,200,,,,,,,,,,,,
1,,R73,200k,,,,,,,,,,,,
1,,R74,500,,,,,,,,,,,,
1,,R77,200,,,,,,,,,,,,
1,,R78,20 k,,,,,,,,,,,,
1,,R80,130,,,,,,,,,,,,
1,,R114,500,,,,,,,,,,,,
1,,R117,360,,,,,,,,,,,,
1,,R122,27,,,,,,,,,,,,
1,,R123,50,,,,,,,,,,,,
1,,R126,100,,,,,,,,,,,,
1,,R127,200,,,,,,,,,,,,
1,,R128,20k,,,,,,,,,,,,
1,,R129,200,,,,,,,,,,,,
1,,R136,5k,,,,,,,,,,,,
1,,R137,10,,,,,,,,,,,,
1,,R138,10,,,,,,,,,,,,
1,,R139,0,,,,,,,,,,,,
1,,R140,0,,,,,,,,,,,,
1,,R141,0,,,,,,,,,,,,
1,,R142,0,,,,,,,,,,,,
1,,R144,20,,,,,,,,,,,,
1,,R145,10,,,,,,,,,,,,
1,,U1,LM2940,,,,,,,,,,,,
1,,U3,LM2990,,,,,,,,,,,,
1,,U15,OPA277,,,,,,,,,,,,
1,,U16,TLV3604,,,,,,,,,,,,
1,,U45,OPA277,,,,,,,,,,,,
1,,U63,SMA_CON,,,,,,,,,,,,
1,,U70,OPA695,,,,,,,,,,,,
1,,U72,TLV3604,,,,,,,,,,,,
1,,U73,OPA277,,,,,,,,,,,,
1,,U74,R12_150B,,,,,,,,,,,,
1,MTAPD-06-013,U75,MTAPD-06-013,SENSOR PHOTODIODE 905NM TO46-2,Marktech Optoelectronics,MTAPD-06-013,MTAPD-06-013-8133550493,MTAPD-06-013,MARKTECH OPTOELECTRONICS,4,4,,,Active,$34.09346-$34.60350
